Kode Unit,Judul Unit,Elemen Kompetensi,Jabatan
M.70KMP00.021.1,Melaksanakan Komunikasi Pemasaran,Menyiapkan materi komunikasi pemasaran dan Melaksanakan kegiatan komunikasi.,Pemasaran
M.70KMP00.022.1,Memberikan Layanan Pelanggan,Mengidentifikasi kebutuhan pelanggan dan Menyediakan solusi layanan.,Layanan Pelanggan
M.70KMP00.023.1,Mengelola Konten Media Sosial,Merencanakan konten media sosial dan Mengunggah dan memantau konten.,Pemasaran Digital
M.70KMP00.024.1,Melakukan Presentasi Penjualan,Mempersiapkan bahan presentasi dan Melakukan teknik persuasi penjualan.,Operasional Sales
M.70KMP00.025.1,Melakukan Pemantauan Harga Pasar,Mengumpulkan data harga pesaing dan Menganalisis posisi harga.,Analis Pasar
M.70KMP00.026.1,Mengelola Program Promosi Penjualan,Merancang mekanisme promosi dan Mengevaluasi hasil promosi.,Promosi
M.70KMP00.027.1,Mengelola Administrasi Penjualan,Memproses pesanan pelanggan dan Mendokumentasikan data penjualan.,Sales Admin
M.70KMP00.028.1,Mempertahankan Klien Strategis,Melakukan kunjungan rutin kepada klien dan Mengidentifikasi peluang pengembangan bisnis.,Account Manager
M.70KMP00.029.1,Mengelola Iklan Berbayar Daring,Mengatur kampanye iklan dan Mengoptimasi kinerja iklan.,Pemasaran Digital
M.70KMP00.030.1,Melakukan Analisis Segmentasi Pasar,Mengelompokkan basis pelanggan dan Menentukan segmen prioritas.,Analis Pemasaran
M.70KMP00.031.1,Mengoordinasikan Aktivitas Aktivasi Merek,Menyiapkan logistik acara aktivasi dan Mengawasi pelaksanaan aktivasi.,Operasional Pemasaran
M.70KMP00.032.1,Mencapai Target Penjualan,Memantau progres pencapaian target dan Mengambil tindakan perbaikan.,Manajer Pemasaran
TIK.PR01.001.01,Membuat Algoritma Pemrograman Dasar,Mendefinisikan masalah,Programmer
TIK.PR01.001.01,Membuat Algoritma Pemrograman Dasar,Membuat alur logika (flowchart),Programmer
TIK.PR02.001.01,Menggunakan Struktur Data,Menentukan struktur data,Programmer
TIK.PR02.001.01,Menggunakan Struktur Data,Menerapkan operasi struktur data,Programmer
TIK.PR02.002.01,Membuat Program Dasar,Menyiapkan lingkungan pengembangan,Programmer
TIK.PR02.002.01,Membuat Program Dasar,Menulis kode program,Programmer
TIK.PR02.003.01,Melaksanakan Pengujian Unit Program,Membuat rencana pengujian unit,Programmer
TIK.PR02.003.01,Melaksanakan Pengujian Unit Program,Mengeksekusi pengujian,Programmer
TIK.PR02.005.01,Melakukan Identifikasi Library Komponen,Mengidentifikasi fungsi library,System Analyst
TIK.PR02.005.01,Melakukan Identifikasi Library Komponen,Mengintegrasikan library ke dalam sistem,System Analyst
TIK.PR02.008.01,Membuat Struktur Database,Merancang skema database,Database Dev
TIK.PR02.008.01,Membuat Struktur Database,Mengimplementasikan database,Database Dev
TIK.PR02.010.1,Menulis Program Lanjut,Menerapkan konsep OOP,Programmer
TIK.PR02.010.1,Menulis Program Lanjut,Mengelola penanganan kesalahan (Exception Handling),Programmer
TIK.PR02.015.01,Membuat Halaman Statis Web,Merancang tata letak (layout),Web Developer
TIK.PR02.015.01,Membuat Halaman Statis Web,Menerapkan desain visual dengan CSS,Web Developer
TIK.PR02.020.01,Melakukan Debugging,Mencari sumber kesalahan,Programmer
TIK.PR02.020.01,Melakukan Debugging,Memperbaiki bug,Programmer
TIK.PR02.022.01,Membuat Dokumentasi Kode Program,Menyusun manual teknis,Documentator
TIK.PR02.025.01,Menerapkan Keamanan Kode Program,Melakukan validasi input,Security Prog.
TIK.PR02.021.01,Membuat Desain Sistem,Merancang arsitektur aplikasi,System Analyst
TIK.PR03.001.01,Mengelola Konfigurasi Perangkat Lunak,Menggunakan sistem kontrol versi (Git/SVN),Programmer
TIK.PR02.016.01,Membuat Antarmuka Pengguna (GUI),Merancang elemen visual antarmuka,UI/UX Designer
TIK.PR02.011.01,Membuat Program Perangkat Bergerak,Mengonfigurasi SDK Mobile,Mobile Dev
TIK.PR02.011.01,Membuat Program Perangkat Bergerak,Mengimplementasikan fitur mobile,Mobile Dev
TIK.PR02.023.01,Melakukan Instalasi Program,Menyiapkan paket instalasi (Deployment),Programmer
TIK.PR02.024.01,Memberikan Dukungan Teknis,Menangani keluhan operasional,Programmer
TIK.PR02.009.01,Mengoptimalkan Query Database,Melakukan tuning query SQL,DB Admin
TIK.PR02.026.01,Menerapkan Enkripsi Data,Mengimplementasikan algoritma kriptografi,Security Prog.
TIK.PR02.018.01,Membuat Konektivitas Antar Sistem,Mengonsumsi Web Service / API,Integrator
TIK.PR02.019.01,Membuat Skrip Sisi Server (Backend),Mengelola sesi dan cookie,Web Developer
TIK.PR04.001.01,Mengevaluasi Teknologi Pemrograman,Melakukan studi banding teknologi,Software Architect
TIK.PR02.004.01,Melaksanakan Pengujian Integrasi,Menguji interaksi antar modul,Tester
TIK.PR01.002.01,Menerapkan Etika Profesi Programmer,Menghargai Hak Kekayaan Intelektual (HKI),Programmer
TIK.PR03.002.01,Mengelola Lingkungan Pengujian,Menyiapkan server simulasi,DevOps
TIK.PR02.006.01,Mendefinisikan Spesifikasi Program,Menerjemahkan kebutuhan bisnis ke teknis,Analyst
TIK.PR02.007.01,Membuat Laporan Data,Merancang format laporan (Reporting),Data Analyst
TIK.PR02.012.01,Menggunakan Framework Pemrograman,Menginstalasi framework,Programmer
TIK.PR02.013.01,Melakukan Refactoring Kode,Memperbaiki struktur kode,Programmer
TIK.PR02.014.01,Mengintegrasikan Sistem Database,Melakukan sinkronisasi data,Integrator
TIK.PR02.017.01,Membuat Prototype Aplikasi,Membuat wireframe fungsional,Analyst
TIK.PR05.001.01,Melakukan Pemeliharaan Sistem,Melakukan patching berkala,Programmer
E.360034.001.01,Mengevaluasi Aspirasi Pemangku Kepentingan,Menyiapkan data harapan dan kebutuhan pemangku kepentingan ,Pengembangan Bisnis
E.360034.001.01,Mengevaluasi Aspirasi Pemangku Kepentingan,Menganalisis aspirasi pemangku kepentingan ,Pengembangan Bisnis
E.360034.001.01,Mengevaluasi Aspirasi Pemangku Kepentingan,Membuat laporan evaluasi ,Pengembangan Bisnis
E.360034.010.01,Menetapkan Sasaran Rencana Bisnis,Mengidentifikasi sasaran rencana bisnis ,Pengembangan Bisnis
E.360034.014.01,Melakukan Analisis Rasio Keuangan,Menyiapkan data analisis rasio keuangan ,Keuangan
E.360034.014.01,Melakukan Analisis Rasio Keuangan,Menghitung analisis rasio keuangan ,Keuangan
E.360034.014.01,Melakukan Analisis Rasio Keuangan,Membuat laporan analisis rasio keuangan ,Keuangan
E.360035.005.01,Menghitung Beban Operasional dan Non Operasional,Menyiapkan data beban ,Keuangan
E.360032.028.01,Melakukan Evaluasi Beban Usaha,Menyiapkan data beban usaha ,Keuangan
E.360032.028.01,Melakukan Evaluasi Beban Usaha,Menganalisis data beban usaha ,Keuangan
E.360032.028.01,Melakukan Evaluasi Beban Usaha,Membuat laporan evaluasi ,Keuangan
E.360035.003.01 ,Mengelola Kewajiban Jangka Pendek dan Panjang,Menyiapkan data kewajiban ,Keuangan
E.360035.005.01,Menghitung Beban Operasional dan Non Operasional,Melakukan penghitungan beban ,Keuangan
E.360034.013.01,Menyusun Proyeksi Keuangan,Menghitung proyeksi ,Keuangan
E.360035.004.01 ,Menyusun Laporan Keuangan,Menyiapkan draf laporan ,Keuangan
E.360034.014.01,Melakukan Analisis Rasio Keuangan,Rekomendasi hasil analisis ,Keuangan
E.360034.014.01,Melakukan Analisis Rasio Keuangan,Merekomendasikan hasil analisis,Keuangan
E.360035.006.01,Menghitung Biaya Produksi,Menyiapkan data biaya,Keuangan
E.360035.006.01,Menghitung Biaya Produksi,Melakukan kalkulasi biaya,Keuangan
E.360035.007.01,Menghitung Biaya Distribusi,Mengidentifikasi komponen biaya,Keuangan
E.360035.008.01,Menghitung Penyusutan Aset,Menentukan masa manfaat aset,Keuangan
E.360035.009.01,Menghitung Profitabilitas,Menganalisis margin laba,Keuangan
E.360035.010.01,Menghitung Likuiditas,Menganalisis rasio lancar,Keuangan
E.360035.010.01,Menghitung Likuiditas,Membuat laporan likuiditas,Keuangan
E.360035.011.01,Menghitung Solvabilitas,Menilai struktur modal,Keuangan
E.360032.028.01,Melakukan Evaluasi Beban Usaha,Menyiapkan data beban,Keuangan
E.360032.028.01,Melakukan Evaluasi Beban Usaha,Menganalisis dan evaluasi,Keuangan
E.360032.028.01,Melakukan Evaluasi Beban Usaha,Melaporkan hasil evaluasi,Keuangan
E.360036.001.01,Menentukan Tim RPAM,Mengidentifikasi anggota tim,RPAM
E.360036.002.01,Membuat Rantai Pasok SPAM,Mendeskripsikan sistem SPAM,RPAM
E.360036.003.01,Menginvestigasi Risiko,Mengidentifikasi kejadian bahaya,RPAM
E.360036.003.01,Menginvestigasi Risiko,Menganalisis tingkat risiko,RPAM
E.360036.004.01,Membuat Daftar Tindakan Pengendalian,Menentukan kontrol risiko,RPAM
E.360036.004.01,Membuat Daftar Tindakan Pengendalian,Memvalidasi tindakan,RPAM
E.360036.005.01,Melakukan Reanalisis Risiko,Menilai risiko sisa (residual),RPAM
E.360036.006.01,Menentukan Cara Pengawasan,Merancang prosedur monitoring,RPAM
E.360036.007.01,Pengawasan Progres Pemenuhan,Memantau pelaksanaan rencana,RPAM
E.360036.008.01,Membuat Rencana Perbaikan,Menyusun jadwal upgrade,RPAM
E.360036.009.01,Melakukan Verifikasi RPAM,Menguji kepatuhan sistem,RPAM
E.360036.010.01,Melakukan Tinjauan Manajemen,Mengevaluasi performa RPAM,RPAM
E.360036.011.01,Mengelola Dokumentasi RPAM,Mengarsipkan data teknis,Operasional
E.360034.018.01,Melakukan Pengendalian Rencana Bisnis,Memantau IKK,Operasional
E.360034.018.01,Melakukan Pengendalian Rencana Bisnis,Menilai penerapan program,Operasional
E.360034.008.01,Mengkaji Kondisi Eksternal,Mengumpulkan data eksternal,Manajemen
E.360034.008.01,Mengkaji Kondisi Eksternal,Menganalisis dampak eksternal,Manajemen
E.360035.012.01,Menghitung Arus Kas (Cash Flow),Mengidentifikasi arus kas masuk,Keuangan
E.360035.012.01,Menghitung Arus Kas (Cash Flow),Menganalisis saldo kas,Keuangan
E.360035.013.01,Mengevaluasi Piutang Air,Menyiapkan data tunggakan,Keuangan
E.360035.013.01,Mengevaluasi Piutang Air,Menganalisis efektivitas penagihan,Keuangan
E.360034.012.01,Merumuskan Program Rencana Bisnis,Menyiapkan data program,Pengembangan
E.360034.012.01,Merumuskan Program Rencana Bisnis,Menyusun draf program,Pengembangan
J.620100.001.1,Menulis Kode Program Secara Dasar,Menyiapkan peralatan dan bahan untuk penulisan kode program,Programmer
J.620100.001.1,Menulis Kode Program Secara Dasar,Melakukan penulisan kode program,Programmer
J.620100.001.1,Menulis Kode Program Secara Dasar,Melakukan pengujian kode program,Programmer
J.620100.002.1,Mendesain Struktur Data,Menentukan struktur data yang akan digunakan,Software Architect
J.620100.002.1,Mendesain Struktur Data,Menerapkan struktur data dalam program,Software Architect
J.620100.004.1,Menggunakan Library atau Komponen Pre-existing,Mengidentifikasi library atau komponen yang dibutuhkan,Programmer
J.620100.004.1,Menggunakan Library atau Komponen Pre-existing,Mengintegrasikan library atau komponen ke dalam perangkat lunak,Programmer
J.620100.005.1,Membuat Halaman Web Statis,Merancang tata letak halaman web,Web Developer
J.620100.005.1,Membuat Halaman Web Statis,Menerapkan gaya (styling) pada halaman web,Web Developer
J.620100.006.1,Membuat Halaman Web Dinamis,Mengelola input dari pengguna,Web Developer
J.620100.006.1,Membuat Halaman Web Dinamis,Mengintegrasikan halaman web dengan basis data,Web Developer
J.620100.007.1,Membuat Rancangan Basis Data,Melakukan pemodelan data,Database Dev
J.620100.007.1,Membuat Rancangan Basis Data,Menentukan skema basis data,Database Dev
J.620100.009.1,Mengonfigurasi Perangkat Jaringan,Menyiapkan perangkat jaringan,Network Eng.
J.620100.009.1,Mengonfigurasi Perangkat Jaringan,Melakukan pengaturan parameter jaringan,Network Eng.
J.620100.012.1,Mengelola Sistem Operasi,Melakukan instalasi sistem operasi,Sys Admin
J.620100.012.1,Mengelola Sistem Operasi,Melakukan pemeliharaan sistem operasi,Sys Admin
J.620100.015.1,Memberikan Layanan Bantuan Teknis,Mengidentifikasi permasalahan teknis,IT Support
J.620100.015.1,Memberikan Layanan Bantuan Teknis,Memberikan solusi bantuan teknis,IT Support
J.620100.017.1,Melakukan Debugging,Mengidentifikasi kesalahan (bug),Programmer
J.620100.018.1,Melakukan Identifikasi Spesifikasi Perangkat Lunak,Mengidentifikasi kebutuhan fungsional,System Analyst
J.620100.018.1,Melakukan Identifikasi Spesifikasi Perangkat Lunak,Menentukan kebutuhan non-fungsional,System Analyst
J.620100.019.1,Mengelola Repositori Kode Program,Menyiapkan lingkungan kontrol versi,Programmer
J.620100.019.1,Mengelola Repositori Kode Program,Melakukan manajemen perubahan kode,Programmer
J.620100.021.1,Melakukan Pengujian Integrasi Perangkat Lunak,Merancang skenario pengujian integrasi,Quality Assurance
J.620100.021.1,Melakukan Pengujian Integrasi Perangkat Lunak,Melaksanakan uji integrasi,Quality Assurance
J.620100.025.1,Melakukan Estimasi Upaya Pengembangan Perangkat Lunak,Menghitung skala proyek,Project Manager
J.620100.025.1,Melakukan Estimasi Upaya Pengembangan Perangkat Lunak,Menentukan alokasi waktu dan SDM,Project Manager
J.620100.026.1,Membuat Dokumentasi Teknis Perangkat Lunak,Menyusun manual pengembang,Technical Writer
J.620100.026.1,Membuat Dokumentasi Teknis Perangkat Lunak,Menyusun manual operasional,Technical Writer
J.620100.027.1,Melakukan Deployment Perangkat Lunak,Menyiapkan paket rilis (Release Package),DevOps Engineer
J.620100.027.1,Melakukan Deployment Perangkat Lunak,Mengeksekusi proses deployment,DevOps Engineer
J.62KI00.001.2,Menyusun Kebijakan Keamanan Informasi,Menentukan ruang lingkup kebijakan,Security Officer
J.62KI00.001.2,Menyusun Kebijakan Keamanan Informasi,Membuat draf dokumen kebijakan,Security Officer
J.62KI00.002.2,Melakukan Analisis Risiko Keamanan Informasi,Mengidentifikasi aset informasi,Risk Analyst
J.62KI00.002.2,Melakukan Analisis Risiko Keamanan Informasi,Menilai ancaman dan kerentanan,Risk Analyst
J.62KI00.004.2,Melakukan Evaluasi Keamanan Informasi,Menyiapkan instrumen evaluasi,Security Engineer
J.62KI00.004.2,Melakukan Evaluasi Keamanan Informasi,Melaksanakan audit/evaluasi teknis,Security Engineer
J.62KI00.005.1,Menerapkan Kontrol Akses,Merancang skema otentikasi,Access Manager
J.62KI00.005.1,Menerapkan Kontrol Akses,Mengelola hak akses (Authorization),Access Manager
J.62KI00.007.2,Mengelola Keamanan Jaringan,Mengonfigurasi perangkat keamanan jaringan,Net-Sec Engineer
J.62KI00.007.2,Mengelola Keamanan Jaringan,Memantau lalu lintas jaringan,Net-Sec Engineer
J.62KI00.010.1,Melaksanakan Audit Keamanan Informasi Internal,Merencanakan audit,Security Auditor
J.62KI00.010.1,Melaksanakan Audit Keamanan Informasi Internal,Melaporkan hasil audit,Security Auditor
J.62KI00.012.1,Menangani Insiden Keamanan Informasi,Mendeteksi dan menganalisis insiden,Incident Responder
J.62KI00.012.1,Menangani Insiden Keamanan Informasi,Melakukan tindakan pemulihan,Incident Responder
J.62KI00.015.1,Mengelola Kesadaran Keamanan Informasi,Merancang program edukasi,Awareness Officer
J.62KI00.018.1,Menerapkan Proteksi Data Pribadi,Mengidentifikasi pemrosesan data pribadi,Privacy Officer
J.62KI00.018.1,Menerapkan Proteksi Data Pribadi,Menerapkan kontrol privasi,Privacy Officer
J.62KI00.021.1,Melakukan Pengujian Penetrasi,Melakukan pengumpulan informasi (Reconnaissance),Pentester
J.62KI00.025.1,Menyusun Rencana Kelangsungan Bisnis,Melakukan analisis dampak bisnis (BIA),BCP Specialist
J.62KI00.025.1,Menyusun Rencana Kelangsungan Bisnis,Merancang strategi pemulihan,BCP Specialist
J.62KI00.022.1,Melakukan Penanganan Kerentanan,Melakukan identifikasi kerentanan,Security Officer
J.62KI00.022.1,Melakukan Penanganan Kerentanan,Melaksanakan remediasi kerentanan,Security Officer
J.62KI00.023.1,Melakukan Pemantauan Keamanan Informasi,Menyiapkan instrumen pemantauan,Security Analyst
J.62KI00.023.1,Melakukan Pemantauan Keamanan Informasi,Menganalisis hasil pemantauan,Security Analyst
J.62KI00.024.1,Melakukan Investigasi Insiden Keamanan Informasi,Mengumpulkan bukti digital,Forensic Analyst
J.62KI00.024.1,Melakukan Investigasi Insiden Keamanan Informasi,Menganalisis bukti digital,Forensic Analyst
J.62KI00.026.1,Melakukan Mitigasi Risiko Keamanan Informasi,Menentukan strategi mitigasi,Risk Manager
J.62KI00.027.1,Mengelola Kepatuhan Keamanan Informasi,Mengidentifikasi persyaratan kepatuhan,Compliance Off.
J.62KI00.027.1,Mengelola Kepatuhan Keamanan Informasi,Memantau status kepatuhan,Compliance Off.
J.62KI00.028.1,Menerapkan Keamanan Perangkat Lunak,Mengintegrasikan keamanan pada SDLC,Security Eng.
J.62KI00.029.1,Mengelola Keamanan Pihak Ketiga,Menetapkan persyaratan keamanan pihak ketiga,Security Eng.
J.62KI00.029.1,Mengelola Keamanan Pihak Ketiga,Mengevaluasi kinerja pihak ketiga,Security Eng.
J.62KI00.030.1,Mengelola Keamanan Data Besar (Big Data),Menerapkan kontrol keamanan big data,Data Protection
J.62KI00.031.1,Mengelola Keamanan Layanan Awan (Cloud Security),Mengonfigurasi keamanan infrastruktur cloud,Cloud Security
